Level, Q, C, X, CycleLength
2, 5, 3, -12, 3
2, 5, 5, -20, 3
2, 5, 7, -28, 3
2, 5, 9, -6, 2
2, 5, 9, -6, 2
2, 5, 9, -36, 3
3, 5, 1, 3, 7
3, 5, 3, -2, 2
3, 5, 5, 15, 7
3, 5, 5, -20, 3
3, 5, 1, 4, 7
3, 5, 3, -2, 2
3, 5, 3, 9, 7
3, 5, 3, -12, 3
3, 5, 3, 12, 7
3, 5, 9, -6, 2
3, 5, 9, -6, 2
3, 5, 9, -6, 2
3, 5, 9, 27, 7
3, 5, 9, -36, 3
3, 5, 7, 21, 7
3, 5, 9, -56, 6
3, 5, 7, -28, 3
3, 5, 9, -6, 2
3, 5, 7, 26, 7
3, 5, 9, 36, 7
3, 5, 9, -6, 2
3, 5, 7, 18, 7
3, 5, 7, 28, 7
4, 5, 3, -2, 2
3, 5, 5, 20, 7
4, 5, 7, -28, 3
4, 5, 3, -2, 2
4, 5, 9, -6, 2
4, 5, 9, -6, 2
4, 5, 9, -6, 2
4, 5, 9, -6, 2
4, 5, 9, -6, 2
4, 5, 5, -20, 3
4, 5, 3, -12, 3
4, 5, 9, -6, 2
4, 5, 9, -36, 3
4, 5, 3, -2, 2
4, 5, 9, -6, 2
4, 5, 9, -6, 2
5, 5, 3, -2, 2
5, 5, 1, 66, 10
5, 5, 1, 17, 10
5, 5, 5, 330, 10
5, 5, 1, 52, 10
5, 5, 5, 85, 10
5, 5, 5, 260, 10
5, 5, 1, -4, 3
5, 5, 5, -20, 3
5, 5, 3, 8, 4
5, 5, 3, -2, 2
5, 5, 3, 198, 10
5, 5, 3, 134, 10
5, 5, 1, 43, 10
5, 5, 3, 51, 10
5, 5, 3, 86, 10
5, 5, 3, -2, 2
5, 5, 3, 156, 10
5, 5, 3, 109, 10
5, 5, 5, 215, 10
5, 5, 3, -12, 3
5, 5, 3, 154, 10
5, 5, 1, 27, 10
5, 5, 3, 61, 10
5, 5, 3, 106, 10
5, 5, 5, 135, 10
5, 5, 7, 462, 10
5, 5, 3, 129, 10
5, 5, 3, 81, 10
5, 5, 7, 119, 10
5, 5, 7, 364, 10
5, 5, 9, -6, 2
5, 5, 9, -6, 2
5, 5, 3, -2, 2
5, 5, 3, -2, 2
5, 5, 7, -28, 3
5, 5, 9, -6, 2
5, 5, 7, 301, 10
5, 5, 9, -6, 2
5, 5, 7, 189, 10
5, 5, 9, -6, 2
5, 5, 9, -6, 2
5, 5, 9, 24, 4
6, 5, 1, -4, 3
6, 5, 3, -2, 2
6, 5, 5, -20, 3
5, 5, 9, -6, 2
5, 5, 9, -6, 2
5, 5, 9, 594, 10
5, 5, 9, 402, 10
5, 5, 9, -56, 6
5, 5, 9, 153, 10
5, 5, 9, 258, 10
5, 5, 9, -6, 2
5, 5, 9, 468, 10
6, 5, 5, -20, 3
5, 5, 9, 327, 10
6, 5, 3, -12, 3
5, 5, 9, -36, 3
5, 5, 9, 462, 10
5, 5, 9, 183, 10
5, 5, 9, 318, 10
6, 5, 1, -4, 3
5, 5, 9, -56, 6
5, 5, 9, 387, 10
5, 5, 9, 243, 10
5, 5, 9, -6, 2
5, 5, 9, -6, 2
6, 5, 3, -2, 2
5, 5, 9, -6, 2
5, 5, 9, -6, 2
6, 5, 3, -12, 3
6, 5, 5, -20, 3
6, 5, 3, -12, 3
6, 5, 7, -28, 3
6, 5, 3, -2, 2
6, 5, 3, -2, 2
6, 5, 3, -2, 2
6, 5, 7, -28, 3
6, 5, 5, -20, 3
6, 5, 3, -12, 3
6, 5, 7, -28, 3
6, 5, 3, -2, 2
6, 5, 3, -2, 2
6, 5, 3, -2, 2
6, 5, 3, -2, 2
6, 5, 5, -20, 3
6, 5, 5, -20, 3
6, 5, 7, -28, 3
6, 5, 3, -12, 3
6, 5, 1, -4, 3
6, 5, 3, -12, 3
6, 5, 5, -20, 3
6, 5, 5, -20, 3
6, 5, 3, -2, 2
6, 5, 7, -28, 3
6, 5, 3, -2, 2
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 9, -36, 3
6, 5, 7, -28, 3
6, 5, 9, -6, 2
6, 5, 9, -36, 3
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 1, -4, 3
6, 5, 9, -36, 3
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 3, -2, 2
6, 5, 3, -12, 3
6, 5, 9, -36, 3
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 3, -12, 3
6, 5, 9, -36, 3
6, 5, 9, -36, 3
7, 5, 3, -2, 2
7, 5, 3, -2, 2
7, 5, 3, -2, 2
6, 5, 7, -28, 3
7, 5, 3, -12, 3
7, 5, 1, -4, 3
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 7, -28, 3
7, 5, 3, -2, 2
6, 5, 9, -6, 2
6, 5, 9, -6, 2
6, 5, 9, -36, 3
7, 5, 5, -20, 3
7, 5, 3, -12, 3
7, 5, 1, -4, 3
6, 5, 9, -6, 2
6, 5, 9, 14, 12
6, 5, 9, 4, 12
7, 5, 3, -2, 2
6, 5, 9, -36, 3
7, 5, 5, -20, 3
7, 5, 3, -2, 2
7, 5, 3, -2, 2
7, 5, 3, -12, 3
7, 5, 7, -28, 3
7, 5, 5, -20, 3
7, 5, 1, -4, 3
7, 5, 7, -28, 3
7, 5, 3, -2, 2
7, 5, 3, -2, 2
7, 5, 7, -28, 3
7, 5, 3, -12, 3
7, 5, 3, -2, 2
7, 5, 5, -20, 3
7, 5, 7, -28, 3
7, 5, 3, -12, 3
7, 5, 3, -12, 3
7, 5, 3, 6, 7
7, 5, 7, -28, 3
7, 5, 5, -20, 3
